condition,model,dice,iou,sensitivity,specificity,precision,auprc
raw,unet,0.7744±0.0023,0.6346±0.0031,0.7587±0.0110,0.9556±0.0047,0.7962±0.0158,0.8658±0.0009
raw,attention_unet,0.7732±0.0021,0.6330±0.0029,0.7626±0.0090,0.9533±0.0041,0.7888±0.0128,0.8647±0.0017
raw,res_unet,0.7802±0.0008,0.6424±0.0011,0.7411±0.0088,0.9651±0.0029,0.8287±0.0100,0.8718±0.0007
raw,se_unet,0.7720±0.0041,0.6313±0.0055,0.7586±0.0117,0.9543±0.0064,0.7915±0.0182,0.8612±0.0018
raw,att_res_unet,0.7799±0.0018,0.6420±0.0023,0.7425±0.0053,0.9644±0.0018,0.8261±0.0062,0.8712±0.0015
preprocessed,unet,0.7704±0.0011,0.6292±0.0014,0.7498±0.0097,0.9568±0.0040,0.7980±0.0125,0.8618±0.0020
preprocessed,attention_unet,0.7680±0.0019,0.6259±0.0026,0.7624±0.0087,0.9508±0.0038,0.7789±0.0116,0.8615±0.0020
preprocessed,res_unet,0.7758±0.0009,0.6364±0.0012,0.7405±0.0019,0.9627±0.0010,0.8199±0.0040,0.8702±0.0006
preprocessed,se_unet,0.7672±0.0024,0.6250±0.0032,0.7652±0.0047,0.9496±0.0029,0.7747±0.0094,0.8603±0.0013
preprocessed,att_res_unet,0.7737±0.0017,0.6335±0.0022,0.7428±0.0063,0.9607±0.0021,0.8126±0.0071,0.8667±0.0019
